OBJECTID,ROADPREMOD,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ROADPOSTMOD,FULLNAME,ALTROADNAME,MSAGNAME,MUNICIPALITY,STATUS,LASTUPDATE,LASTEDITOR,ROADPRETYPE,FULLNAMECASS,CapCASSStName,JoinID
872465,,,Adrian,St,,,Adrian Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Adrian St,ADRIAN ST,53
872466,,,Adventure,Ave,,,Adventure Avenue,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Adventure Ave,ADVENTURE AVE,54
872467,,,Afton,Dr,,,Afton Drive,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Afton Dr,AFTON DR,55
872468,,,Agate,St,,,Agate Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Agate St,AGATE ST,56
872469,,,Agriculture,Pl,,,Agriculture Place,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Agriculture Pl,AGRICULTURE PL,57
872470,,,Agriculture,St,,,Agriculture Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Agriculture St,AGRICULTURE ST,58
872471,,,Airline,Hwy,,,Airline Highway,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Airline Hwy,AIRLINE HWY,59
872472,,,Airway,St,,,Airway Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Airway St,AIRWAY ST,60
872473,,,Airwood,St,,,Airwood Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Airwood St,AIRWOOD ST,61
872474,,,Alabama,St,,,Alabama Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Alabama St,ALABAMA ST,62
872475,,,Alabo,St,,,Alabo Street,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Alabo St,ALABO ST,63
872476,,,Alba,Rd,,,Alba Road,,,Orleans,Current,2015/02/23 13:50:08+00,CITYOFNO\cmard,,Alba Rd,ALBA RD,64
872477,,,Alba,Rd,E,,Alba Road East,,,Orleans,Current,2015/02/23 13:50:10+00,CITYOFNO\cmard,,Alba Rd E,ALBA RD E,65
872478,,,Alba,Rd,W,,Alba Road West,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alba Rd W,ALBA RD W,66
872479,,,Albany,Ct,,,Albany Court,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Albany Ct,ALBANY CT,67
872480,,,Albert,St,,,Albert Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Albert St,ALBERT ST,68
872481,,,Albert Savoy,Way,,,Albert Savoy Way,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Albert Savoy Way,ALBERT SAVOY WAY,69
872482,,,Alcée Fortier,Blvd,,,Alcée Fortier Boulevard,Alcee Fortier Boulevard,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alcée Fortier Blvd,ALCÉE FORTIER BLVD,70
872483,,,Alden,Pl,,,Alden Place,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alden Pl,ALDEN PL,71
872484,,N,Alexander,St,,,North Alexander Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,N Alexander St,N ALEXANDER ST,72
872485,,S,Alexander,St,,,South Alexander Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,S Alexander St,S ALEXANDER ST,73
872486,,,Alfred,St,,,Alfred Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alfred St,ALFRED ST,74
872487,,,Alhambra,St,,,Alhambra Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alhambra St,ALHAMBRA ST,75
872488,,,Alice,Ct,,,Alice Court,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alice Ct,ALICE CT,76
872489,,,Aline,St,,,Aline Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Aline St,ALINE ST,77
872490,,,Alix,St,,,Alix Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alix St,ALIX ST,78
872491,,,Alja Meyers,Pl,,,Alja Meyers Place,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alja Meyers Pl,ALJA MEYERS PL,79
872492,,,Allard,Blvd,,,Allard Boulevard,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Allard Blvd,ALLARD BLVD,80
872493,,,Allen,St,,,Allen Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Allen St,ALLEN ST,81
872494,,,Allison,Rd,,,Allison Road,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Allison Rd,ALLISON RD,82
872495,,E,Filmore,Ave,,,E Filmore Avenue,,,Orleans,Current,,,,E Fillmore Ave,E FILLMORE AVE,2323
